T/T_m,Data-Centric Crystal Classifier,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Alaysis,Ackland-Jones Analysis
0.04,1.0,1.0,1.0,1.0
0.08,1.0,1.0,1.0,1.0
0.12,1.0,1.0,1.0,1.0
0.16,1.0,1.0,1.0,1.0
0.2,1.0,1.0,1.0,1.0
0.24,1.0,1.0,1.0,1.0
0.28,1.0,0.99995,1.0,1.0
0.32,1.0,0.9999,1.0,0.99995
0.36,1.0,0.99935,1.0,0.99955
0.4,0.9999411764705882,0.998725,0.999925,0.999125
0.44,0.9999411764705882,0.9968,0.999925,0.9981
0.48,0.9999411764705882,0.995,0.999575,0.996
0.52,0.9996470588235294,0.98845,0.998725,0.990675
0.56,0.9994705882352941,0.979325,0.99745,0.986225
0.6,0.9988823529411764,0.96505,0.99515,0.9762
0.64,0.9985294117647059,0.950075,0.99125,0.9648
0.68,0.9974117647058823,0.9278,0.98305,0.951
0.72,0.9968235294117647,0.89865,0.972825,0.93475
0.76,0.9944705882352941,0.866775,0.957525,0.911025
0.8,0.989764705882353,0.81845,0.931275,0.88145
0.84,0.9860588235294118,0.77,0.907775,0.850875
0.88,0.9782941176470589,0.7076,0.8589,0.8087
0.92,0.9700588235294118,0.652675,0.821925,0.773425
0.96,0.9541176470588235,0.56985,0.75185,0.7184
1.0,0.9364705882352942,0.502525,0.683075,0.667575
1.04,0.9145882352941177,0.4301,0.614925,0.612425
1.08,0.8948823529411765,0.36485,0.543825,0.55945
1.12,0.8545294117647059,0.284075,0.4494,0.50005
1.16,0.8002941176470588,0.216725,0.3562,0.4211
1.2,0.30941176470588233,0.029075,0.050575,0.07675
1.24,0.20552941176470588,5e-05,5e-05,0.008525
1.28,0.2106470588235294,7.5e-05,0.0001,0.0084
1.32,0.21864705882352942,0.0,0.0,0.008325
1.36,0.22076470588235295,0.0,0.0,0.0072
1.4,0.22476470588235295,0.0,0.0,0.007325
1.44,0.2293529411764706,0.0,0.0,0.0059
1.48,0.22929411764705881,0.0,2.5e-05,0.005675
1.52,0.24411764705882352,0.0,0.0,0.004475
1.56,0.25058823529411767,0.0,2.5e-05,0.0046
1.6,0.24823529411764705,2.5e-05,2.5e-05,0.004125
